STATE,DOMAIN,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,GEOCODE2,DOMAIN_A,DOMAIN_B
IN,T2,39,E,H,F,3,C,T,2
other,T1,35,,U,F,Not matched,A,T,1
FL,T1,35,E,H,F,3,A,T,1
other,C3,31,I,H,F,3,C,C,3
other,T2,37,E,H,F,3,C,T,2
IL,T1,34,E,U,M,2,B,T,1
MI,R2,46,,H,M,3,D,R,2
other,C3,32,E,H,M,3,B,C,3
other,S2,20,E,H,M,3,B,S,2
FL,R1,42,E,H,M,2,C,R,1
CA,C1,22,E,H,F,3,A,C,1
CA,S1,14,E,H,F,3,A,S,1
CA,T2,38,E,U,F,3,C,T,2
CA,T2,40,E,H,M,3,A,T,2
other,R3,53,E,H,M,3,D,R,3
other,R3,51,I,U,F,Not matched,D,R,3
WA,S2,16,E,H,M,2,C,S,2
GA,C3,31,E,U,M,1,C,C,3
other,S2,18,E,H,M,2,A,S,2
other,C1,24,,U,M,2,C,C,1
other,T2,39,I,U,F,Not matched,C,T,2
MI,U4,10,E,H,F,3,A,U,4
TX,R2,45,,U,F,Not matched,D,R,2
MI,S1,14,E,H,F,3,C,S,1
MO,T3,41,E,H,F,3,D,T,3
CA,S1,13,E,H,M,2,A,S,1
WI,C2,26,E,U,F,2,B,C,2
IN,T2,36,E,U,M,2,D,T,2
MI,U1,2,,U,F,Not matched,A,U,1
GA,T1,35,E,H,M,3,A,T,1
GA,C2,28,E,H,M,3,C,C,2
MO,R3,51,I,H,M,2,D,R,3
MI,C2,28,E,H,M,3,B,C,2
CA,T1,35,E,H,M,2,B,T,1
FL,S2,20,E,H,F,3,A,S,2
IL,S2,16,E,U,M,3,A,S,2
MO,T2,36,E,U,F,3,D,T,2
other,T1,34,E,H,F,3,B,T,1
WI,S1,13,E,H,M,3,B,S,1
WI,R2,46,,U,M,2,D,R,2
IL,R2,43,,U,M,1,A,R,2
GA,T1,35,E,H,M,3,A,T,1
CA,S1,13,,H,M,3,A,S,1
CA,U1,2,E,U,M,1,A,U,1
other,C3,31,,U,M,Not matched,B,C,3
IN,U1,1,E,U,M,3,B,U,1
CA,U1,2,,U,F,Not matched,A,U,1
IN,C3,30,E,H,F,2,B,C,3
FL,C3,33,E,H,F,3,A,C,3
other,C2,27,E,H,F,3,B,C,2
other,C3,30,E,H,M,2,B,C,3
other,T2,38,E,H,M,3,C,T,2
other,T1,35,I,H,M,3,D,T,1
WA,S1,11,E,U,F,1,A,S,1
MI,S2,18,E,H,F,3,A,S,2
NC,T2,39,,H,M,2,B,T,2
MO,U3,8,,H,F,3,A,U,3
GA,C3,32,E,U,F,3,B,C,3
FL,S3,21,,U,M,Not matched,B,S,3
other,T3,41,,U,F,Not matched,D,T,3
CA,C1,24,I,U,F,Not matched,D,C,1
CA,U2,4,,U,M,Not matched,A,U,2
other,C1,22,,U,M,3,C,C,1
CA,R2,46,E,H,F,2,C,R,2
other,R3,53,,U,F,Not matched,D,R,3
other,C3,32,,U,F,Not matched,B,C,3
other,T2,36,E,H,F,3,D,T,2
CA,S1,14,,U,M,Not matched,A,S,1
other,R3,50,,U,F,Not matched,B,R,3
TX,T2,36,,U,F,Not matched,A,T,2
other,R3,50,E,H,M,3,B,R,3
other,R2,44,,U,M,Not matched,A,R,2
CA,S1,14,E,H,M,2,A,S,1
WI,S2,16,E,H,M,3,B,S,2
NC,T2,40,E,H,M,3,B,T,2
FL,U3,9,,U,M,Not matched,A,U,3
MI,S3,21,E,U,M,2,A,S,3
WI,T1,35,E,U,M,1,C,T,1
IL,R2,49,E,H,F,2,D,R,2
NC,C2,25,,U,F,Not matched,B,C,2
FL,C2,27,E,H,F,3,B,C,2
WA,C1,24,I,U,F,Not matched,A,C,1
WA,R2,40,,U,F,Not matched,C,R,2
GA,T2,36,E,H,M,2,B,T,2
IN,R2,49,E,H,F,2,D,R,2
CA,U3,8,E,H,M,3,A,U,3
IN,S2,18,E,H,M,3,B,S,2
IL,U1,1,E,H,M,3,A,U,1
other,R2,49,E,U,M,2,B,R,2
WI,T2,38,E,U,M,3,C,T,2
other,C3,30,,U,F,Not matched,C,C,3
FL,S3,21,E,H,F,3,A,S,3
TX,S1,15,E,H,M,3,B,S,1
CA,S1,11,,U,F,Not matched,A,S,1
other,S1,13,,H,other,3,B,S,1
FL,U2,4,E,U,M,3,A,U,2
other,T2,36,I,H,F,3,D,T,2
WI,U1,3,E,H,F,3,B,U,1
IL,S2,18,E,H,F,3,A,S,2
IL,R2,49,,U,M,Not matched,B,R,2
FL,S1,15,,U,M,3,A,S,1
other,R2,43,I,U,F,Not matched,C,R,2
NC,R3,51,,U,F,Not matched,D,R,3
other,S2,18,E,H,F,3,C,S,2
other,T2,40,E,H,F,3,B,T,2
other,C2,28,E,U,M,2,B,C,2
TX,T1,35,E,U,F,2,A,T,1
other,C1,22,E,H,F,2,B,C,1
other,T2,38,,U,M,Not matched,B,T,2
FL,C3,31,,U,F,Not matched,B,C,3
GA,R2,45,E,U,M,2,B,R,2
other,R2,44,E,H,M,3,C,R,2
WI,R2,49,E,H,M,3,D,R,2
NC,T1,34,E,H,F,3,C,T,1
CA,C2,27,E,H,M,3,B,C,2
TX,C3,30,E,H,F,3,C,C,3
CA,S1,13,I,U,F,2,A,S,1
other,C1,22,E,H,M,1,B,C,1
IL,T2,36,,U,F,2,D,T,2
TX,S3,21,E,U,M,2,B,S,3
IN,T1,35,,H,M,3,B,T,1
other,C2,28,E,H,F,2,B,C,2
NC,C1,24,E,H,F,3,B,C,1
MO,U3,9,E,H,M,2,A,U,3
other,S1,12,E,H,F,3,B,S,1
other,R2,43,E,H,F,3,C,R,2
other,R2,40,,U,other,Not matched,D,R,2
WI,T2,40,E,H,F,3,A,T,2
other,R2,40,E,U,F,1,C,R,2
other,T3,41,E,H,F,3,C,T,3
CA,T2,40,E,H,F,3,D,T,2
other,R2,45,,U,F,2,D,R,2
other,R2,40,,U,M,Not matched,B,R,2
GA,S1,15,I,U,F,Not matched,A,S,1
GA,C2,27,E,H,F,3,A,C,2
WA,U4,10,I,U,M,Not matched,A,U,4
CA,U1,2,E,H,F,2,A,U,1
MI,T1,35,E,H,F,2,B,T,1
other,S1,12,I,U,F,Not matched,B,S,1
CA,U1,3,E,H,M,3,A,U,1
other,T1,34,E,H,F,2,B,T,1
NC,C3,30,I,U,F,Not matched,C,C,3
WA,C1,24,,U,M,Not matched,C,C,1
other,C2,25,I,H,M,2,B,C,2
MO,T2,40,E,H,F,2,A,T,2
CA,U3,8,E,H,M,3,A,U,3
TX,R1,42,,U,M,Not matched,B,R,1
other,S2,18,E,H,F,3,B,S,2
other,C3,33,E,H,F,3,B,C,3
other,R2,45,E,U,F,2,D,R,2
TX,S3,21,,U,F,Not matched,A,S,3
FL,S2,18,E,H,M,3,B,S,2
IL,S1,14,I,H,F,3,A,S,1
CA,T2,40,,U,M,Not matched,C,T,2
FL,C3,32,E,H,F,3,B,C,3
IN,R2,43,E,H,M,2,C,R,2
IN,S1,14,E,H,F,3,B,S,1
MI,T3,41,E,U,F,3,C,T,3
TX,C3,30,,U,F,Not matched,B,C,3
other,R3,53,E,U,F,3,D,R,3
CA,U1,3,,U,F,Not matched,A,U,1
WI,R3,53,,U,M,3,D,R,3
other,R2,44,,H,M,2,A,R,2
GA,S1,11,E,H,F,3,A,S,1
FL,S2,19,E,H,F,3,A,S,2
IL,R2,40,,U,F,Not matched,A,R,2
other,R2,49,E,U,F,3,D,R,2
MI,R3,51,E,H,M,3,D,R,3
NC,R2,46,,U,F,Not matched,D,R,2
other,S2,16,,H,M,1,B,S,2
NC,R2,44,,H,F,2,B,R,2
CA,U2,7,,H,F,3,A,U,2
TX,S1,11,E,H,M,2,A,S,1
CA,S1,12,E,H,M,3,A,S,1
MO,R2,48,I,U,F,3,D,R,2
MI,U3,8,,H,M,2,A,U,3
other,R2,40,,U,F,Not matched,A,R,2
CA,C2,27,E,H,F,3,A,C,2
CA,C2,27,E,H,M,3,A,C,2
CA,R2,46,E,H,F,2,D,R,2
other,C1,24,,U,M,Not matched,B,C,1
MO,S2,16,E,H,F,3,A,S,2
other,C3,32,E,H,F,3,B,C,3
CA,R1,42,E,H,F,2,B,R,1
MI,C3,30,E,H,M,3,C,C,3
other,C2,25,E,H,M,1,A,C,2
other,R3,50,,H,other,2,D,R,3
CA,S2,19,E,H,M,2,A,S,2
CA,S1,14,E,H,F,3,B,S,1
CA,C2,26,E,U,F,3,B,C,2
MI,C2,27,E,H,F,1,B,C,2
other,T2,39,E,H,M,3,C,T,2
IL,S1,14,E,H,F,2,A,S,1
TX,T2,40,,U,F,Not matched,A,T,2
MI,T2,40,E,H,M,2,B,T,2
NC,T2,40,,U,M,Not matched,B,T,2
MO,S1,14,I,H,F,1,A,S,1
other,S3,21,,U,F,Not matched,D,S,3
FL,C3,31,E,H,F,2,A,C,3
other,R2,49,,H,F,2,C,R,2
WA,R2,49,,H,M,2,C,R,2
other,U1,1,,U,F,1,B,U,1
CA,S1,14,,U,F,Not matched,A,S,1
other,S2,18,E,H,F,3,A,S,2
GA,R2,44,,U,F,3,A,R,2
TX,C3,32,E,H,F,3,A,C,3
other,U4,10,,U,F,2,A,U,4
CA,S2,16,I,H,F,2,A,S,2
CA,C3,30,I,U,F,Not matched,C,C,3
FL,U3,9,,U,M,2,A,U,3
other,T2,36,E,U,F,3,C,T,2
other,U3,8,,U,F,2,A,U,3
TX,R2,45,E,H,F,2,D,R,2
IL,C2,27,E,H,M,3,A,C,2
CA,S2,16,E,H,F,3,A,S,2
TX,S2,16,E,H,M,3,B,S,2
other,R3,50,E,H,M,2,D,R,3
CA,C1,24,E,H,F,3,A,C,1
CA,C2,25,,U,F,2,B,C,2
other,S2,17,,U,F,3,B,S,2
IN,R2,43,E,H,F,3,D,R,2
CA,U2,6,I,U,F,Not matched,A,U,2
CA,U3,8,,H,F,1,A,U,3
FL,U1,2,,U,F,Not matched,A,U,1
TX,C3,31,,U,F,3,C,C,3
other,R3,51,,U,F,2,D,R,3
CA,S1,11,E,H,F,3,A,S,1
WI,C3,31,I,U,other,2,C,C,3
IN,C2,27,E,H,M,3,C,C,2
FL,C1,23,E,U,F,1,A,C,1
other,T2,36,,U,other,3,D,T,2
MI,S2,17,E,H,M,1,C,S,2
NC,C3,30,E,H,F,3,C,C,3
other,S2,20,,U,F,1,D,S,2
FL,R3,50,E,U,M,3,B,R,3
other,C1,24,E,U,F,1,B,C,1
CA,U4,10,,U,M,Not matched,A,U,4
WI,R2,45,,U,M,3,D,R,2
IL,R2,46,I,U,M,2,D,R,2
WA,R1,42,I,U,M,Not matched,D,R,1
CA,U3,8,E,H,F,3,A,U,3
TX,T2,36,,U,F,Not matched,C,T,2
CA,T1,34,,U,F,Not matched,C,T,1
other,T2,36,,U,M,1,B,T,2
IL,R3,53,E,U,M,2,D,R,3
IL,S1,11,E,H,F,3,A,S,1
other,S1,15,,U,F,Not matched,B,S,1
FL,C1,23,E,U,F,2,B,C,1
CA,U1,3,,U,F,Not matched,A,U,1
MO,S1,11,,H,F,3,A,S,1
TX,C1,23,,U,F,1,B,C,1
NC,R2,40,E,H,F,3,D,R,2
IN,R2,49,,U,M,2,B,R,2
other,S2,16,E,H,F,3,B,S,2
WI,R2,45,,H,M,3,D,R,2
MO,S1,13,E,H,M,3,A,S,1
other,R2,44,E,U,M,3,A,R,2
MO,U3,8,E,H,F,3,A,U,3
TX,S1,14,E,H,F,3,A,S,1
CA,S1,12,E,H,M,3,B,S,1
IN,T2,37,E,U,F,2,C,T,2
FL,C2,26,E,H,F,3,B,C,2
FL,U1,3,E,H,F,3,A,U,1
MO,T2,36,,U,F,Not matched,D,T,2
CA,S1,13,E,H,F,3,A,S,1
FL,C2,27,E,H,M,1,B,C,2
CA,U1,2,E,H,M,3,A,U,1
TX,R2,45,E,U,F,2,D,R,2
MI,T3,41,E,U,F,1,A,T,3
other,T2,36,,U,other,3,C,T,2
MI,S2,18,,U,F,Not matched,B,S,2
NC,T2,40,E,H,M,3,B,T,2
CA,R2,45,I,U,M,2,A,R,2
other,R2,44,E,U,F,3,D,R,2
FL,C2,27,E,U,M,2,B,C,2
other,S2,20,,U,F,Not matched,D,S,2
NC,C1,24,,U,M,Not matched,B,C,1
CA,T2,40,I,U,M,Not matched,C,T,2
GA,R3,51,I,U,F,Not matched,B,R,3
FL,C3,31,,U,F,Not matched,B,C,3
other,R3,50,,U,M,Not matched,D,R,3
IL,S2,16,E,H,M,3,B,S,2
other,R3,53,E,U,F,2,D,R,3
IL,R2,48,E,H,M,2,D,R,2
other,S1,14,,H,M,3,B,S,1
other,T2,39,E,U,F,3,B,T,2
CA,S2,20,E,H,M,2,A,S,2
other,C2,25,E,H,M,2,C,C,2
TX,S2,18,E,U,M,3,B,S,2
other,R2,47,E,H,F,2,C,R,2
other,T2,40,E,H,M,3,B,T,2
MI,T2,36,E,U,F,2,C,T,2
CA,C3,33,,U,F,1,A,C,3
other,R2,45,E,U,M,3,D,R,2
other,T1,34,,U,F,Not matched,D,T,1
GA,T1,35,,U,F,1,B,T,1
NC,T2,39,,U,M,3,B,T,2
GA,S1,13,E,H,M,3,A,S,1
IL,S1,14,E,H,F,2,A,S,1
TX,S1,14,,U,F,Not matched,B,S,1
other,S2,18,E,H,F,2,B,S,2
other,S2,16,,U,F,Not matched,B,S,2
GA,R3,50,I,U,F,1,D,R,3
FL,T2,36,E,H,F,3,A,T,2
WA,C1,24,E,H,M,3,A,C,1
WA,T2,39,E,H,F,2,A,T,2
other,S1,14,,H,F,3,C,S,1
CA,U2,6,E,H,M,2,A,U,2
MI,R3,53,,U,F,Not matched,D,R,3
TX,T1,35,E,H,M,3,A,T,1
FL,U2,5,E,H,F,2,A,U,2
CA,R2,46,E,H,F,2,C,R,2
CA,U2,7,,H,F,3,A,U,2
MI,T2,40,I,H,M,3,A,T,2
TX,R2,43,,U,M,Not matched,D,R,2
TX,S2,18,E,H,M,2,B,S,2
other,T1,34,E,H,M,2,B,T,1
other,T1,35,E,H,F,1,D,T,1
TX,C3,30,,U,M,Not matched,A,C,3
CA,U1,2,I,H,F,2,A,U,1
GA,C3,32,E,H,M,3,B,C,3
other,S2,18,E,H,F,3,B,S,2
MI,R2,40,E,H,M,3,A,R,2
MI,R2,49,I,H,other,2,B,R,2
WI,S2,20,,U,F,2,B,S,2
FL,S2,20,,U,F,Not matched,A,S,2
FL,C2,29,E,U,F,1,B,C,2
WA,S1,12,E,U,F,1,A,S,1
MI,S2,18,,U,M,Not matched,A,S,2
MI,U2,5,E,H,F,2,A,U,2
IL,C1,24,,U,F,2,A,C,1
other,R3,51,,U,F,Not matched,C,R,3
CA,U1,3,E,U,F,3,A,U,1
other,R2,45,E,U,F,1,D,R,2
CA,S3,21,E,H,M,2,A,S,3
GA,T1,35,,U,F,Not matched,C,T,1
WA,C2,28,,U,F,1,A,C,2
CA,S1,13,E,H,M,3,A,S,1
CA,T2,40,E,H,F,2,B,T,2
IL,R3,51,E,H,F,3,A,R,3
other,C2,27,,U,F,Not matched,B,C,2
CA,S1,11,,U,F,Not matched,A,S,1
TX,T2,36,E,H,M,3,D,T,2
TX,T3,41,E,H,F,2,D,T,3
CA,S1,14,E,H,F,2,A,S,1
CA,U3,8,E,U,M,1,A,U,3
other,U4,10,E,H,M,3,B,U,4
other,S2,18,,U,F,Not matched,C,S,2
MI,C2,26,E,H,F,3,A,C,2
TX,C3,30,E,H,F,3,B,C,3
CA,U1,2,I,U,F,Not matched,B,U,1
NC,T2,36,I,U,M,Not matched,D,T,2
other,S2,16,E,H,M,3,B,S,2
CA,U1,3,,U,F,Not matched,A,U,1
other,T2,36,I,U,F,Not matched,B,T,2
CA,S2,17,E,H,F,3,A,S,2
CA,U1,2,E,H,F,2,A,U,1
other,S2,17,E,H,F,2,C,S,2
WA,T2,36,E,H,F,2,C,T,2
other,R2,48,E,H,M,3,D,R,2
other,R2,44,,U,M,Not matched,B,R,2
CA,U4,10,,U,F,Not matched,B,U,4
TX,S1,11,E,H,F,3,A,S,1
other,T2,37,,U,F,Not matched,D,T,2
FL,R2,47,E,U,M,3,D,R,2
other,R2,43,I,U,F,3,B,R,2
CA,T2,37,E,H,F,2,A,T,2
TX,C2,27,,U,F,Not matched,A,C,2
GA,T2,36,E,U,F,2,D,T,2
IN,R2,43,,U,F,Not matched,D,R,2
TX,C1,24,E,H,F,3,B,C,1
FL,U4,10,,U,F,Not matched,A,U,4
CA,C1,24,E,H,M,2,A,C,1
TX,R3,52,,U,F,2,D,R,3
other,R3,51,E,H,F,2,C,R,3
FL,C2,29,I,U,F,Not matched,C,C,2
TX,S2,18,E,H,F,3,A,S,2
IL,T2,40,E,H,M,3,A,T,2
other,R2,43,E,U,M,2,D,R,2
other,T2,36,,U,F,3,D,T,2
IL,S2,18,E,H,F,1,A,S,2
other,T2,36,E,U,M,3,D,T,2
other,T2,36,E,H,F,3,D,T,2
TX,S1,12,E,H,F,3,A,S,1
other,C1,24,E,H,M,3,C,C,1
FL,C2,29,,U,M,Not matched,A,C,2
FL,C3,30,,U,F,1,B,C,3
WI,R2,43,,U,F,Not matched,B,R,2
WI,S1,11,E,H,M,3,B,S,1
other,T2,40,E,U,M,3,B,T,2
MI,R3,51,,U,F,1,D,R,3
MI,C3,30,E,H,F,3,C,C,3
FL,C3,33,E,H,M,3,A,C,3
CA,C1,24,E,H,F,3,A,C,1
CA,C2,27,E,U,F,2,A,C,2
CA,R2,46,,H,M,2,B,R,2
CA,T2,38,,U,M,3,A,T,2
other,T3,41,,H,other,3,C,T,3
other,T2,39,E,U,M,2,B,T,2
other,R3,51,E,H,M,2,D,R,3
CA,T3,41,,U,M,Not matched,B,T,3
IL,C1,24,E,H,M,3,A,C,1
other,R2,43,,U,M,3,C,R,2
other,R2,49,E,U,F,2,D,R,2
MO,C3,30,E,H,F,3,B,C,3
MO,U3,9,I,U,M,Not matched,B,U,3
IL,S1,11,,U,M,Not matched,A,S,1
FL,U4,10,,H,F,2,A,U,4
CA,R1,42,E,H,F,3,A,R,1
other,S1,12,I,U,F,Not matched,B,S,1
FL,C2,26,E,H,F,3,C,C,2
FL,C2,29,E,H,M,3,B,C,2
other,T2,40,,H,other,3,B,T,2
CA,T1,35,I,U,M,Not matched,A,T,1
WA,C2,27,E,U,F,3,C,C,2
FL,C1,23,E,H,M,3,B,C,1
other,T3,41,,U,M,Not matched,C,T,3
GA,C1,24,E,H,F,2,A,C,1
FL,C2,28,E,H,F,3,B,C,2
CA,T1,35,E,H,F,3,B,T,1
WA,T2,40,,U,F,Not matched,A,T,2
MI,C2,28,E,H,F,3,A,C,2
MI,S2,18,E,H,M,3,A,S,2
IL,R3,53,,U,F,Not matched,A,R,3
other,S3,21,,H,F,2,B,S,3
MI,S2,18,E,U,M,1,A,S,2
TX,U1,1,,U,M,1,A,U,1
other,U4,10,,U,F,Not matched,B,U,4
WI,R2,44,E,U,M,3,C,R,2
FL,S2,18,I,U,F,Not matched,B,S,2
CA,U2,5,I,H,F,3,A,U,2
CA,S1,13,I,U,F,Not matched,A,S,1
other,T2,39,E,H,F,3,C,T,2
FL,T1,35,,H,F,2,B,T,1
WI,S1,13,E,H,F,2,B,S,1
other,T2,39,,U,other,2,D,T,2
CA,S1,13,I,H,M,2,A,S,1
other,S2,18,E,H,F,3,A,S,2
CA,C1,23,,H,M,3,A,C,1
FL,S2,16,I,H,other,3,A,S,2
other,R2,40,E,H,M,3,C,R,2
TX,C2,25,E,U,F,3,C,C,2
WI,T1,35,I,U,M,Not matched,B,T,1
CA,U1,2,,U,F,Not matched,A,U,1
CA,S1,12,I,H,F,1,A,S,1
CA,S2,18,E,H,F,3,B,S,2
other,T3,41,I,U,M,Not matched,A,T,3
CA,R2,46,,U,F,Not matched,D,R,2
FL,U4,10,E,H,F,2,A,U,4
MO,T2,40,E,H,M,3,B,T,2
CA,U3,9,,U,M,Not matched,A,U,3
IL,S1,12,E,H,F,3,A,S,1
TX,C3,30,,U,M,Not matched,A,C,3
FL,R3,51,,U,M,Not matched,A,R,3
GA,C2,25,,U,F,Not matched,A,C,2
CA,T3,41,E,H,F,3,B,T,3
other,T2,36,I,U,M,2,D,T,2
other,S2,18,E,H,F,3,B,S,2
other,C2,25,,U,M,1,C,C,2
other,T1,35,E,H,M,3,D,T,1
CA,T2,38,E,U,F,2,A,T,2
CA,S1,15,E,U,M,2,A,S,1
GA,C1,24,,U,M,Not matched,A,C,1
CA,U1,3,,U,F,Not matched,A,U,1
other,T2,36,E,U,F,3,C,T,2
FL,C2,26,E,H,M,3,C,C,2
NC,S1,14,E,H,M,2,B,S,1
IN,T3,41,I,U,M,3,D,T,3
CA,S2,19,,U,F,Not matched,A,S,2
other,R2,45,,U,F,Not matched,D,R,2
CA,S1,11,E,H,F,2,A,S,1
NC,C2,25,I,U,other,2,C,C,2
other,S1,11,E,H,F,3,A,S,1
IL,U1,2,E,H,F,3,A,U,1
other,R2,40,E,H,M,1,C,R,2
other,C1,24,,U,F,Not matched,B,C,1
WA,R2,44,E,H,F,2,C,R,2
IN,S2,18,,U,F,Not matched,B,S,2
NC,C2,27,,U,F,Not matched,C,C,2
other,R3,51,,U,F,2,D,R,3
CA,R2,48,,U,F,Not matched,B,R,2
IN,T2,39,,U,M,Not matched,B,T,2
other,U4,10,E,H,F,2,A,U,4
MO,S1,13,E,H,M,1,A,S,1
other,T2,39,E,H,F,2,B,T,2
other,C1,24,E,H,M,3,C,C,1
IL,U1,1,E,U,M,3,A,U,1
TX,R2,45,,U,F,Not matched,D,R,2
NC,T3,41,E,H,M,3,B,T,3
CA,S2,17,,U,F,Not matched,A,S,2
other,C2,25,E,H,F,3,B,C,2
FL,U3,8,,U,F,Not matched,B,U,3
other,S1,15,I,U,M,Not matched,B,S,1
CA,U2,7,E,H,F,3,A,U,2
FL,U3,8,E,H,F,2,A,U,3
MI,R2,49,E,U,F,3,C,R,2
other,R2,48,E,U,F,2,D,R,2
other,R2,45,,U,F,Not matched,A,R,2
GA,C1,24,I,U,M,Not matched,C,C,1
CA,C3,30,,U,other,2,B,C,3
FL,T3,41,,U,F,1,A,T,3
TX,C1,23,E,U,F,1,C,C,1
CA,S1,12,E,U,F,2,A,S,1
WA,S1,13,I,H,M,3,A,S,1
FL,T2,37,,U,M,2,A,T,2
TX,R2,46,E,H,F,2,B,R,2
TX,C3,30,E,H,F,3,B,C,3
CA,S2,17,E,H,M,3,B,S,2
NC,C2,27,E,H,F,3,B,C,2
CA,U3,8,,U,F,Not matched,A,U,3
CA,S3,21,E,H,M,3,B,S,3
other,T1,35,E,H,F,3,D,T,1
CA,U1,3,E,H,F,3,A,U,1
CA,U2,6,E,U,F,2,A,U,2
IL,U2,5,E,U,M,1,A,U,2
CA,C1,22,E,H,M,3,A,C,1
other,R2,44,E,U,F,2,D,R,2
other,S1,12,E,H,F,2,B,S,1
MI,C2,27,E,H,M,3,B,C,2
other,R2,46,E,U,M,3,D,R,2
TX,T2,38,,U,M,Not matched,A,T,2
CA,C2,27,,U,F,3,A,C,2
TX,T2,40,E,U,F,2,B,T,2
other,U3,8,,U,F,Not matched,B,U,3
other,T2,36,,U,M,Not matched,D,T,2
IL,R2,49,E,U,M,2,B,R,2
IL,U1,1,,U,F,Not matched,A,U,1
other,R3,53,E,H,F,2,D,R,3
other,T3,41,E,H,M,3,B,T,3
MI,S2,16,E,H,F,2,B,S,2
WI,T2,36,E,H,F,2,D,T,2
MO,R2,40,,U,F,2,D,R,2
TX,S1,15,E,H,F,3,A,S,1
FL,S2,20,E,H,F,3,B,S,2
other,T2,36,E,H,M,2,D,T,2
CA,U4,10,,H,other,2,A,U,4
other,R2,47,E,H,F,2,C,R,2
other,R2,40,E,H,M,3,A,R,2
WA,T2,40,E,H,M,3,A,T,2
CA,S1,15,,U,other,2,A,S,1
CA,U3,9,,U,F,Not matched,A,U,3
CA,C3,33,E,H,F,3,B,C,3
CA,U1,1,,U,F,Not matched,A,U,1
MO,C3,31,E,H,F,2,B,C,3
FL,C1,24,E,H,M,3,B,C,1
other,S1,12,,U,F,Not matched,D,S,1
CA,S1,12,,U,F,Not matched,A,S,1
other,U1,2,,U,M,Not matched,B,U,1
other,S2,16,E,U,M,2,A,S,2
other,C3,30,,U,M,Not matched,D,C,3
TX,C2,27,E,H,M,2,C,C,2
other,T2,38,E,H,F,3,A,T,2
MI,S2,16,E,U,M,3,A,S,2
other,R2,45,,U,F,2,D,R,2
other,S2,16,E,H,M,3,B,S,2
IL,R2,49,E,U,M,2,A,R,2
CA,S2,19,,U,M,Not matched,A,S,2
NC,R3,50,E,U,F,3,C,R,3
other,R2,43,,U,F,Not matched,D,R,2
CA,C3,31,E,U,M,2,A,C,3
TX,S1,14,E,U,F,2,A,S,1
CA,U1,2,E,H,F,3,B,U,1
IL,S2,18,,U,M,Not matched,A,S,2
MO,T1,35,E,H,F,3,D,T,1
TX,U3,8,E,H,M,3,A,U,3
TX,C3,31,,U,F,Not matched,B,C,3
IL,S1,14,E,H,F,3,A,S,1
other,S1,13,I,H,M,3,B,S,1
CA,U1,1,I,U,F,Not matched,A,U,1
NC,R2,48,,U,M,Not matched,D,R,2
other,R2,45,E,U,M,3,D,R,2
MI,R2,44,E,H,M,2,A,R,2
WA,R2,40,E,H,M,3,A,R,2
FL,R2,40,E,H,F,3,A,R,2
CA,R3,53,E,H,M,3,A,R,3
WA,T2,37,E,U,F,3,C,T,2
CA,C3,30,,H,other,2,B,C,3
other,T2,37,E,H,M,2,D,T,2
WI,T2,40,,U,M,Not matched,B,T,2
other,T2,40,E,H,F,3,D,T,2
NC,C3,31,I,U,F,Not matched,C,C,3
other,S1,12,I,U,F,2,A,S,1
TX,S1,12,E,U,F,2,A,S,1
other,S2,18,,U,M,1,A,S,2
WA,C1,23,E,H,F,3,C,C,1
TX,S1,11,I,U,F,Not matched,B,S,1
CA,U1,2,E,H,M,3,A,U,1
CA,U4,10,,U,other,3,A,U,4
CA,C3,30,,U,F,Not matched,B,C,3
other,U2,7,,U,F,Not matched,B,U,2
TX,T2,40,,U,F,Not matched,C,T,2
IN,T2,36,,H,other,2,C,T,2
CA,U1,2,E,H,M,3,A,U,1
other,S1,14,E,H,M,3,B,S,1
CA,U1,2,E,H,F,3,A,U,1
CA,C3,30,E,H,F,3,A,C,3
other,T1,35,E,H,F,3,B,T,1
CA,T1,34,,U,M,Not matched,A,T,1
MO,R2,45,E,U,M,3,D,R,2
CA,C2,25,E,H,M,3,A,C,2
FL,S2,20,,U,F,Not matched,B,S,2
other,R2,46,E,H,F,2,D,R,2
MI,R2,40,E,H,M,3,A,R,2
IN,C3,30,E,H,F,3,C,C,3
other,S3,21,E,H,F,3,B,S,3
WA,U3,8,E,H,M,3,A,U,3
FL,T1,34,,U,F,Not matched,B,T,1
other,R2,40,E,U,F,2,A,R,2
IN,C2,27,E,U,F,3,D,C,2
other,R2,43,,H,other,2,D,R,2
WI,T2,40,E,H,M,3,B,T,2
other,R2,43,,H,M,2,A,R,2
CA,S1,13,,U,F,Not matched,A,S,1
CA,C2,26,,H,F,2,C,C,2
other,T2,36,E,H,F,2,C,T,2
CA,C1,24,,U,M,Not matched,B,C,1
FL,C3,33,E,H,F,3,B,C,3
WI,S1,13,E,H,M,3,B,S,1
other,R3,51,,U,other,2,D,R,3
other,T1,34,E,H,F,1,C,T,1
TX,S2,18,,U,M,Not matched,A,S,2
IL,T2,36,,U,F,Not matched,D,T,2
IL,S2,17,E,H,M,3,A,S,2
other,U1,2,E,H,F,3,B,U,1
other,C3,32,E,H,M,2,C,C,3
CA,C1,23,,U,F,Not matched,A,C,1
MI,T2,38,I,U,M,Not matched,C,T,2
other,T3,41,,U,F,Not matched,B,T,3
other,S1,13,E,H,M,3,B,S,1
